TIPO CUERPO DE AGUA,TOX_V_15_UT (NORMAL),E_COLI,COLI_FEC,pH_CAMPO,TEMP_AGUA,COT,DBO_TOT,DQO_TOT,N_TOT,P_TOT,COLOR_VER,ABS_UV,SST,TURBIEDAD,AS_TOT,HG_TOT,PB_TOT,DUR_TOT,CONDUC_CAMPO,OD_%
LÓTICO,1,0,0,8.9,19.7,1,0,0,0,1,62.5,0.253,1,25,1,0,1,183,1509,50.5
LÓTICO,1,0,0,7.8,26.5,0,0,0,0,1,62.5,0.379,1,125,1,0,1,178.6,1460,15.7
LÓTICO,0,1,0,7.7,27.5,0,0,0,0,1,70,0.293,1,35,1,0,1,176.3,1298,21
LÓTICO,1,0,0,7.6,24.4,1,0,0,0,1,100,0.255,1,25,0,1,1,143.1,1100,78.7
LÓTICO,1,0,0,8,24.8,0,1,0,0,1,125,0.266,1,32,1,0,1,184.2,1397,26
LÓTICO,0,0,0,7.8,24.4,1,0,0,0,1,130,0.041,1,65,0,1,1,39.17,1385,26.4
LÓTICO,1,0,0,8,26.3,0,0,0,0,1,75,0.029,1,60,1,1,1,170.78,1493,
LÓTICO,1,0,0,7.7,23.7,1,1,0,0,1,90,0.352,1,36,1,1,1,170.66,1322,40.9
LÓTICO,1,1,1,7.8,24.7,1,1,1,1,1,40,0.129,1,6.6,1,1,1,106.15,590,57.5
LÓTICO,1,1,0,7.2,26.7,1,0,0,0,1,150,0.27155,1,24,1,0,1,184.8,1437,43.7
LÓTICO,1,1,1,8,25.8,1,1,0,0,1,60,0.19483,1,11,0,1,1,115.09,1410,49.6
LÓTICO,1,0,0,7.9,20.6,1,1,0,0,1,60,0.1665,1,13,1,1,1,173.05,1177,62.5
LÓTICO,1,0,0,8,24.1,1,1,0,0,1,60,0.22607,1,4.8,1,1,1,175.44,1335,66.8
LÓTICO,1,1,1,8,26.7,1,1,0,,0,60,0.18009,1,9.6,1,1,1,177.8,1414,
LÓTICO,1,0,0,7.9,25.4,1,1,0,1,1,50,0.16911,1,3.7,1,1,1,156.71,1104,74.6
LÓTICO,1,1,1,7.8,25.6,1,1,1,1,1,40,0.20335,1,6.3,1,1,1,167.41,1021,73.8
LÓTICO,1,1,0,8.1,26.2,1,1,0,0,1,50,0.16581,1,5.3,0,1,1,166.89,1308,67.7
LÓTICO,1,1,1,7.5,19.9,1,1,0,0,1,50,0.194,1,7.1,1,1,1,174.28,1128,76.2
LÓTICO,1,1,1,7.7,24.8,1,1,1,0,1,40,0.188,1,3.3,1,1,1,170.58,1380,68.9
LÓTICO,1,0,0,7.7,26.1,1,1,0,0,1,60,0.216,1,3.2,1,1,1,168.49,1434,71.8
LÓTICO,1,1,0,7.6,27.4,1,1,0,0,1,40,0.502,1,6.2,1,1,1,169.15,1229,70
LÓTICO,1,1,1,7.2,23.7,1,1,0,1,1,30,0.159,1,4.6,1,1,1,132.83,902,63.8
LÓTICO,1,0,0,7.9,26.9,1,1,0,0,1,80,0.264,1,13,1,1,1,153.64,1300,52
LÓTICO,1,0,0,7.4,20,1,1,1,0,1,30,0.181,1,2.5,1,1,1,168.905,1222,66.3
LÓTICO,1,1,1,7.6,25.5,1,1,0,0,1,60,0.4,1,13,1,1,1,171.163,1377,64.5
LÓTICO,1,1,1,7.6,26.5,1,1,1,0,1,40,0.198,1,25,1,1,1,162.69,1404,59
LÓTICO,1,0,0,7.4,26.4,1,1,1,1,1,50,0.009,1,4.9,1,1,1,141.666,928,70.6
LÓTICO,1,1,1,7.5,25,1,1,1,1,1,30,0.172,1,4.4,1,1,1,155.797,1036,69.4
LÓTICO,1,1,1,7.4,22.2,1,1,1,0,1,60,0.213,1,3.6,1,1,1,161.999,1301,54.3
LÓTICO,1,1,1,7.7,20.5,1,1,0,0,1,20,0.179,1,4.4,1,1,1,171.53,1153,75.7
LÓTICO,0,1,1,7.6,27.3,1,1,0,0,1,40,0.177,1,3.6,1,1,1,163.075,1225,83.1
LÓTICO,1,0,0,7.7,26.4,1,1,1,1,1,60,,1,5.3,1,1,1,150.404,1106,89.2
LÓTICO,1,0,0,7.4,28,,1,1,,,,,1,,,,,,1033,75.8
LÓTICO,1,1,0,7.88,18.7,1,1,0,1,1,10,0.009,1,27,1,1,1,170.1648,967,37.5
LÓTICO,1,1,0,8.24,17.1,1,1,0,1,1,100,0.0444,1,13,1,1,1,170.7732,1263,12
LÓTICO,1,0,0,7.96,22.5,1,1,0,1,1,125,0.0963,1,22.5,1,1,1,177.192,1287,29.3
LÓTICO,1,0,0,7.77,22.9,1,1,0,1,1,62.5,0.009,1,300,1,1,1,175.95,1343,14.7
LÓTICO,1,1,0,7.51,22.9,1,1,1,1,1,175,0.3562,1,110,1,1,1,142.899,901,31.8
LÓTICO,1,0,0,7.72,21.8,1,1,0,1,1,312.5,0.217,1,32,1,0,1,263.048,936,25.1
LÓTICO,1,1,0,7.47,21,1,1,0,1,1,100,0.286,1,16,0,1,1,153.446,968,36.1
LÓTICO,1,0,0,7.81,17.5,1,0,0,1,1,100,0.211,1,20,1,1,1,180.51,1175,24.8
LÓTICO,1,0,0,8.3,18.6,1,0,0,1,1,100,0.288,1,15,1,1,1,181,1370,85
LÓTICO,1,1,0,8,20.8,1,0,0,1,1,50,0.307,1,87.5,1,0,1,192.7,1410,27.8
LÓTICO,1,0,0,8.1,23.4,1,1,0,,1,70,0.232,1,38,1,1,1,178.3,1291,13.9
LÓTICO,1,0,0,7.8,23.3,1,1,0,1,1,60,0.213,1,26,1,0,1,135.1,900,17.6
LÓTICO,1,1,0,8.4,21.6,1,1,0,1,1,60,0.175,1,32,1,1,1,124,797,103.2
LÓTICO,1,0,0,8.2,17.9,1,0,0,0,1,250,0.222,1,32,1,1,0,187.14,1088,28.5
LÓTICO,1,0,0,8,21,1,0,0,1,1,125,0.286,1,26,1,1,1,154.71,1022,20.6
LÓTICO,1,0,0,7.8,21.8,1,1,0,0,1,70,0.277,1,37,1,1,1,166.69,1145,12.6
LÓTICO,1,0,0,8,21.9,1,1,0,1,1,100,0.309,1,34,1,1,1,98.14,554,33.1
LÓTICO,1,0,0,7.4,23.7,1,0,0,1,1,75,0.28704,1,14,1,0,1,122.16,747,76.2
LÓTICO,1,0,0,7.8,22.9,1,1,0,1,1,70,0.26604,1,35,1,1,1,113.17,734,22.1
LÓTICO,1,0,0,8.1,15,1,1,0,1,1,90,0.23345,1,32,1,1,1,160.91,859,38.9
LÓTICO,1,0,0,8.1,19.5,1,1,0,0,1,200,0.23931,1,29,1,1,1,171.31,1030,33.5
LÓTICO,1,0,0,7.8,22.2,1,1,0,0,1,250,0.19694,1,105,1,1,1,192.45,1277,10
LÓTICO,1,1,0,7.8,22.9,1,1,0,0,1,70,0.29254,1,40,1,1,1,177.06,1145,24.4
LÓTICO,1,0,0,7.7,23.3,1,1,0,1,1,70,0.27117,1,39,1,1,1,108.82,624,16.7
LÓTICO,1,0,0,7.9,22.1,1,0,0,1,1,75,0.23851,1,28,1,1,1,124.15,741,31.4
LÓTICO,1,0,0,7.4,16.6,1,0,0,0,1,150,0.258,1,46,1,1,1,178.43,1047,78.4
LÓTICO,1,0,0,7.9,17.6,1,1,0,0,1,125,0.282,1,52,1,1,1,183.06,1142,41.2
LÓTICO,1,0,0,7.9,23.6,1,1,0,0,1,125,0.259,1,35,1,1,1,189.04,1306,22.8
LÓTICO,1,1,0,8,25.5,1,1,0,0,1,70,0.472,1,26,1,0,1,193.61,1333,46.7
LÓTICO,1,0,0,7.9,23.4,1,,0,1,1,70,0.284,1,18,1,1,1,157.36,1010,22.9
LÓTICO,1,0,0,8.3,22.5,1,1,0,1,1,70,0.322,1,26,1,1,1,92.99,533,69.2
LÓTICO,1,0,0,7.9,14.7,1,1,0,0,1,70,0.229,1,28,1,1,1,166.87,923,55.7
LÓTICO,1,1,0,7.6,17.6,1,1,0,0,1,75,0.243,1,37,1,1,1,156.064,962,53.2
LÓTICO,1,0,0,7.8,21.3,1,1,0,0,1,75,0.242,1,18,1,1,1,165.862,1230,47.3
LÓTICO,1,0,0,7.8,22.4,1,1,0,1,1,60,0.063,1,14,1,1,1,174.047,1130,75.9
LÓTICO,1,0,0,7.8,22,1,1,0,1,1,60,0.21,1,9.4,1,1,1,127.745,761,65.4
LÓTICO,1,0,0,7.6,18.5,1,1,1,1,1,100,0.197,1,21,1,1,1,140.658,825,61.3
LÓTICO,1,0,0,8.1,17.6,1,1,0,0,1,70,0.204,1,28,1,1,1,157.404,937,16.7
LÓTICO,1,0,0,7.7,24.9,1,1,1,1,1,50,0.238,1,21,1,1,1,138.524,934,10
LÓTICO,1,1,1,8.2,21.1,1,1,0,1,1,70,,1,36,1,1,1,158.32,1051,10
LÓTICO,,,,7,24,1,0,0,,1,5,,1,35,,,,,,
LÓTICO,,,,8,22,1,,0,,,,,1,40,,,,,,
LÓTICO,1,0,0,7.96,19.8,1,1,0,1,1,143,0.009,1,4.5,0,0,1,272.128,1205,53.8
LÓTICO,1,0,0,7.9,14.5,1,1,0,1,1,100,0.009,1,12.5,0,1,1,254.6712,1081,46.8
LÓTICO,1,1,0,7.94,17.7,1,1,0,1,1,75,0.0783,1,8.5,1,1,1,274.9032,1486,54.1
LÓTICO,1,1,1,7.91,21.1,1,1,0,1,1,125,0.009,1,15,0,0,1,273.6632,1541,58.9
